Iref,iL
5.999999999999999778e-01,5.332542342521429113e-01
5.999999999999999778e-01,5.332542342521434664e-01
5.999999999999999778e-01,5.332542342521429113e-01
5.999999999999999778e-01,5.332542342521434664e-01
5.999999999999999778e-01,5.332542342521429113e-01
5.999999999999999778e-01,5.332542342521434664e-01
5.999999999999999778e-01,5.332542342521429113e-01
5.999999999999999778e-01,5.332542342521434664e-01
5.999999999999999778e-01,5.332542342521429113e-01
5.999999999999999778e-01,5.332542342521434664e-01
5.999999999999999778e-01,5.332542342521429113e-01
5.999999999999999778e-01,5.332542342521434664e-01
5.999999999999999778e-01,5.332542342521429113e-01
5.999999999999999778e-01,5.332542342521434664e-01
5.999999999999999778e-01,5.332542342521429113e-01
5.999999999999999778e-01,5.332542342521434664e-01
5.999999999999999778e-01,5.332542342521429113e-01
5.999999999999999778e-01,5.332542342521434664e-01
5.999999999999999778e-01,5.332542342521429113e-01
5.999999999999999778e-01,5.332542342521434664e-01
5.999999999999999778e-01,5.332542342521429113e-01
5.999999999999999778e-01,5.332542342521434664e-01
5.999999999999999778e-01,5.332542342521429113e-01
5.999999999999999778e-01,5.332542342521434664e-01
5.999999999999999778e-01,5.332542342521429113e-01
5.999999999999999778e-01,5.332542342521434664e-01
5.999999999999999778e-01,5.332542342521429113e-01
5.999999999999999778e-01,5.332542342521434664e-01
5.999999999999999778e-01,5.332542342521429113e-01
5.999999999999999778e-01,5.332542342521434664e-01
5.999999999999999778e-01,5.332542342521429113e-01
5.999999999999999778e-01,5.332542342521434664e-01
5.999999999999999778e-01,5.332542342521429113e-01
5.999999999999999778e-01,5.332542342521434664e-01
5.999999999999999778e-01,5.332542342521429113e-01
5.999999999999999778e-01,5.332542342521434664e-01
5.999999999999999778e-01,5.332542342521429113e-01
5.999999999999999778e-01,5.332542342521434664e-01
5.999999999999999778e-01,5.332542342521429113e-01
5.999999999999999778e-01,5.332542342521434664e-01
5.999999999999999778e-01,5.332542342521429113e-01
5.999999999999999778e-01,5.332542342521434664e-01
5.999999999999999778e-01,5.332542342521429113e-01
5.999999999999999778e-01,5.332542342521434664e-01
5.999999999999999778e-01,5.332542342521429113e-01
5.999999999999999778e-01,5.332542342521434664e-01
5.999999999999999778e-01,5.332542342521429113e-01
5.999999999999999778e-01,5.332542342521434664e-01
5.999999999999999778e-01,5.332542342521429113e-01
5.999999999999999778e-01,5.332542342521434664e-01
5.999999999999999778e-01,5.332542342521429113e-01
5.999999999999999778e-01,5.332542342521434664e-01
